	Position	Z_Score	Termseq_Depth	Strand	Condition	Replicate
1375	1950870	7.250740190776512	254.0	-	Control	2
4298	1953793	5.560512288006425	103.0	-	Control	2
7067	1956562	0.9999764395916535	0.0	-	Control	2
8924	1958419	0.189340721232005	0.0	-	Control	2
9732	1959227	0.429413623057794	4.0	-	Control	2
12659	1962154	8.249776843676065	3613.0	-	Control	2
13948	1963443	0.17117605374005476	2.0	-	Control	2
15195	1964690	0.43899008737347733	0.0	-	Control	2
16077	1965572	0.6575956540037061	0.0	-	Control	2
17565	1967060	0.6516811506468173	71.0	-	Control	2
18528	1968023	0.24608087006817417	39.0	-	Control	2
19468	1968963	8.168883334525205	681.0	-	Control	2
22081	1971576	0.5135866811129803	0.0	-	Control	2
22745	1972240	7.3123499778948995	327.0	-	Control	2
23453	1972948	1.929271582374223	102.0	-	Control	2
24912	1974407	0.7440639373709136	91.0	-	Control	2
25828	1975323	0.38015444749445687	0.0	-	Control	2
26585	1976080	3.065528164844428	570.0	-	Control	2
27540	1977035	0.22596132592728235	2.0	-	Control	2
29522	1979017	6.158504944141668	39333.0	-	Control	2
31474	1980969	0.21913307057432552	3.0	-	Control	2
32546	1982041	1.6218208906972207	0.0	-	Control	2
34023	1983518	0.5158991599602114	6.0	-	Control	2
35097	1984592	8.421512305340602	305.0	-	Control	2
35877	1985372	0.6391871432265175	4.0	-	Control	2
36705	1986200	0.6446720033077056	6.0	-	Control	2
37739	1987234	2.0224065146281345	3.0	-	Control	2
38548	1988043	3.4099702961645093	62.0	-	Control	2
40124	1989619	2.474761257294067	56.0	-	Control	2
41199	1990694	1.8870247637774076	51.0	-	Control	2
41921	1991416	2.286804297782159	66.0	-	Control	2
42680	1992175	1.7870027745669588	4.0	-	Control	2
43981	1993476	2.5758417951521677	93.0	-	Control	2
45414	1994909	1.5349191718835609	121.0	-	Control	2
46562	1996057	2.862878447832179	249.0	-	Control	2
48033	1997528	2.5351312954677687	257.0	-	Control	2
48802	1998297	3.5754372376430408	327.0	-	Control	2
49961	1999456	3.470775353690285	324.0	-	Control	2
51325	2000820	0.9187203045825473	5.0	-	Control	2
53134	2002629	0.287019997613963	0.0	-	Control	2
54596	2004091	8.816885413413027	1328.0	-	Control	2
55509	2005004	0.2251581444355053	0.0	-	Control	2
58430	2007925	2.6085403195191907	18.0	-	Control	2
59436	2008931	1.7414066068505034	14.0	-	Control	2
60541	2010036	1.5005701337684514	15.0	-	Control	2
61193	2010688	3.4237798956556236	25.0	-	Control	2
62341	2011836	1.6888462587649198	26.0	-	Control	2
63761	2013256	2.0848291412039894	32.0	-	Control	2
64331	2013826	6.97325183300205	86.0	-	Control	2
65588	2015083	1.3965689302472422	0.0	-	Control	2
66313	2015808	2.7018418075094837	48.0	-	Control	2
67051	2016546	3.166621152199954	47.0	-	Control	2
70685	2020180	2.1090574313734463	6.0	-	Control	2
73495	2022990	8.08605884635403	517.0	-	Control	2
74227	2023722	0.5086977796651215	53.0	-	Control	2
74788	2024283	0.5234777013025409	54.0	-	Control	2
76057	2025552	0.45212652153201116	1.0	-	Control	2
76588	2026083	0.4680031113180241	0.0	-	Control	2
78054	2027549	8.651640909577825	429.0	-	Control	2
80242	2029737	0.45543062185580724	72.0	-	Control	2
81056	2030551	7.912848001909321	547.0	-	Control	2
82072	2031567	1.608697012626549	158.0	-	Control	2
83828	2033323	0.6029550126041139	51.0	-	Control	2
84411	2033906	7.562843186744039	397.0	-	Control	2
85522	2035017	0.7269664126976616	50.0	-	Control	2
86932	2036427	0.46125897102882085	5.0	-	Control	2
87971	2037466	0.33940402689448185	0.0	-	Control	2
89505	2039000	5.911642722999797	1011.0	-	Control	2
91770	2041265	5.19224375202015	958.0	-	Control	2
92913	2042408	2.5712248856350577	390.0	-	Control	2
94323	2043818	0.7483521444090002	107.0	-	Control	2
96557	2046052	2.5768689978326513	176.0	-	Control	2
98630	2048125	7.660306252689639	401.0	-	Control	2
99155	2048650	0.47748776425676387	39.0	-	Control	2
100384	2049879	0.4266501096028114	1.0	-	Control	2
101323	2050818	1.7455655789010074	5.0	-	Control	2
102188	2051683	2.8836640455464164	36.0	-	Control	2
104037	2053532	0.30457167903755444	1.0	-	Control	2
104908	2054403	8.989519934611598	984.0	-	Control	2
107455	2056950	0.4872240109718341	0.0	-	Control	2
109270	2058765	7.85647387287152	339.0	-	Control	2
109877	2059372	1.6999848596486276	89.0	-	Control	2
110856	2060351	0.4542152270694412	39.0	-	Control	2
112173	2061668	1.4740275888101169	35.0	-	Control	2
114163	2063658	0.46062291382996107	0.0	-	Control	2
114763	2064258	7.099000134581787	530.0	-	Control	2
116116	2065611	1.35093625974584	128.0	-	Control	2
117464	2066959	0.642418488693959	48.0	-	Control	2
117967	2067462	0.6553426180107684	0.0	-	Control	2
119892	2069387	0.24180619647342405	0.0	-	Control	2
121466	2070961	0.4664561660880046	578.0	-	Control	2
123820	2073315	8.683065512630348	8014.0	-	Control	2
124951	2074446	0.18301257152900668	0.0	-	Control	2
126608	2076103	1.229404711530817	50.0	-	Control	2
127318	2076813	3.678128129248481	104.0	-	Control	2
128073	2077568	0.5530135405999725	0.0	-	Control	2
131248	2080743	0.37884030281139836	0.0	-	Control	2
132075	2081570	7.052209593362439	838.0	-	Control	2
133244	2082739	2.857835906290123	365.0	-	Control	2
134586	2084081	0.5652422517523277	0.0	-	Control	2
136154	2085649	2.6817681333244847	298.0	-	Control	2
136735	2086230	0.6161342001027841	89.0	-	Control	2
137757	2087252	8.906108303905922	928.0	-	Control	2
140486	2089981	2.4778532581358244	13.0	-	Control	2
142799	2092294	0.6730817525205299	0.0	-	Control	2
143548	2093043	3.9670658971750243	547.0	-	Control	2
145520	2095015	0.28411821000575216	0.0	-	Control	2
146946	2096441	8.073179213766867	5583.0	-	Control	2
148598	2098093	0.17119764473006105	0.0	-	Control	2
150048	2099543	0.6580922856151386	9.0	-	Control	2
151719	2101214	0.6016418664436636	0.0	-	Control	2
153066	2102561	0.12857615669753886	0.0	-	Control	2
153863	2103358	0.12871016609860098	0.0	-	Control	2
154588	2104083	8.227139517459833	9111.0	-	Control	2
156045	2105540	0.13088466315695424	0.0	-	Control	2
157134	2106629	0.41255227216486556	0.0	-	Control	2
158420	2107915	2.3212023552608696	65.0	-	Control	2
159608	2109103	8.13911590283436	204.0	-	Control	2
160595	2110090	0.31506434093774194	0.0	-	Control	2
162346	2111841	1.0669266803764994	6.0	-	Control	2
164297	2113792	0.4029184283232937	0.0	-	Control	2
165167	2114662	7.203084598107074	5796.0	-	Control	2
166450	2115945	1.506034028159518	1459.0	-	Control	2
167709	2117204	0.5547563999106615	3.0	-	Control	2
170548	2120043	7.820397320529411	19462.0	-	Control	2
174035	2123530	1.1165548032472512	13.0	-	Control	2
175249	2124744	2.420242290831089	13.0	-	Control	2
175834	2125329	2.8200298045072194	13.0	-	Control	2
176615	2126110	2.211224993681239	11.0	-	Control	2
177464	2126959	1.5622826108270296	9.0	-	Control	2
178104	2127599	2.4976640467806583	11.0	-	Control	2
178831	2128326	2.3518091270530985	11.0	-	Control	2
179724	2129219	2.3377384637456586	11.0	-	Control	2
180788	2130283	1.6418594563910285	12.0	-	Control	2
182776	2132271	3.049758779585777	24.0	-	Control	2
183365	2132860	1.632734419786942	19.0	-	Control	2
184850	2134345	1.2724831941232009	1.0	-	Control	2
186219	2135714	4.359828727030321	63.0	-	Control	2
187748	2137243	2.2644268892437096	41.0	-	Control	2
188894	2138389	2.6677556839695926	32.0	-	Control	2
190203	2139698	1.4502429610840473	0.0	-	Control	2
190820	2140315	2.3065131726854866	22.0	-	Control	2
191745	2141240	4.178086854192766	29.0	-	Control	2
192281	2141776	2.527965533834699	21.0	-	Control	2
193039	2142534	1.7647341389221305	17.0	-	Control	2
194333	2143828	2.485308394619046	15.0	-	Control	2
196719	2146214	1.927583683909576	17.0	-	Control	2
197640	2147135	3.3990300261247577	25.0	-	Control	2
198170	2147665	3.0403079582665367	24.0	-	Control	2
200243	2149738	1.5816912657595856	26.0	-	Control	2
201594	2151089	5.328657249243334	76.0	-	Control	2
202699	2152194	0.7811131983114228	3.0	-	Control	2
204249	2153744	3.909900350222069	106.0	-	Control	2
204837	2154332	5.994751992432218	154.0	-	Control	2
206818	2156313	0.6783163924537513	20.0	-	Control	2
207941	2157436	1.615150364715142	11.0	-	Control	2
209588	2159083	7.197228505876965	33.0	-	Control	2
210585	2160080	1.839109707906281	10.0	-	Control	2
211594	2161089	2.452081396995219	13.0	-	Control	2
212680	2162175	2.407451803565814	8.0	-	Control	2
213659	2163154	3.0424934772443972	9.0	-	Control	2
216622	2166117	0.47815210761425475	0.0	-	Control	2
217465	2166960	6.4226697893160525	81.0	-	Control	2
219016	2168511	0.6726366223218594	53.0	-	Control	2
220583	2170078	7.7818110571767845	407.0	-	Control	2
221531	2171026	0.2292709591753786	84.0	-	Control	2
223010	2172505	0.33668366709359365	0.0	-	Control	2
223627	2173122	8.384342608989694	1300.0	-	Control	2
225069	2174564	0.17400374289255155	0.0	-	Control	2
225922	2175417	0.1740717581980036	0.0	-	Control	2
227096	2176591	8.255933751878676	92550.0	-	Control	2
229631	2179126	0.29076234607666823	23.0	-	Control	2
230895	2180390	8.132771563911863	762.0	-	Control	2
231496	2180991	0.6464040227307162	94.0	-	Control	2
233489	2182984	3.2283452374709647	72.0	-	Control	2
234310	2183805	0.7148214860592156	49.0	-	Control	2
236065	2185560	0.9611121870168127	336.0	-	Control	2
237713	2187208	8.199863563325108	2444.0	-	Control	2
238825	2188320	0.16364352710257682	0.0	-	Control	2
240278	2189773	0.3613182190178964	2.0	-	Control	2
242619	2192114	7.7645122769380555	169.0	-	Control	2
244329	2193824	2.004719599637649	52.0	-	Control	2
245248	2194743	0.7864493709886015	0.0	-	Control	2
248052	2197547	1.2923544186633122	2.0	-	Control	2
248624	2198119	1.4278188741443085	2.0	-	Control	2
249727	2199222	1.3299885763053239	2.0	-	Control	2
250308	2199803	0.49281527528002395	0.0	-	Control	2
251024	2200519	0.7145497672094269	2.0	-	Control	2
252253	2201748	5.094191369281131	10.0	-	Control	2
253161	2202656	2.2743954758144938	5.0	-	Control	2
254579	2204074	2.350531830918352	6.0	-	Control	2
256650	2206145	6.9001613979078655	12.0	-	Control	2
258339	2207834	0.21691285674347463	0.0	-	Control	2
259805	2209300	6.8103708314050975	877.0	-	Control	2
262097	2211592	3.984530887571335	541.0	-	Control	2
262671	2212166	3.075399660226467	251.0	-	Control	2
265801	2215296	8.01265740520073	3880.0	-	Control	2
267043	2216538	0.981052599039378	831.0	-	Control	2
268309	2217804	0.3030014672887701	10.0	-	Control	2
269104	2218599	8.351060225726453	4020.0	-	Control	2
270201	2219696	0.21612358280512553	19.0	-	Control	2
271556	2221051	0.23971710504573032	16.0	-	Control	2
273771	2223266	8.327395413538598	2739.0	-	Control	2
274919	2224414	0.27646751019908716	34.0	-	Control	2
275737	2225232	0.3324691837162825	50.0	-	Control	2
276662	2226157	2.5961973399922194	494.0	-	Control	2
278116	2227611	6.660527737063632	1118.0	-	Control	2
282077	2231572	4.471549723493173	601.0	-	Control	2
284069	2233564	6.963600722172592	923.0	-	Control	2
284731	2234226	0.8390732460467253	133.0	-	Control	2
285731	2235226	0.7130451866112465	124.0	-	Control	2
286503	2235998	0.18085115866793677	8.0	-	Control	2
288340	2237835	8.506005367740944	7656.0	-	Control	2
290850	2240345	0.36646983743601635	0.0	-	Control	2
292237	2241732	7.740205984954772	887.0	-	Control	2
293049	2242544	1.4548522138851419	199.0	-	Control	2
294508	2244003	0.1521704469782273	3.0	-	Control	2
296220	2245715	8.216783856856244	14390.0	-	Control	2
298751	2248246	1.225361978790952	128.0	-	Control	2
301371	2250866	8.413651331641507	3449.0	-	Control	2
302260	2251755	0.4971951806508546	340.0	-	Control	2
304086	2253581	1.250482523297177	180.0	-	Control	2
305058	2254553	0.6234290761265375	34.0	-	Control	2
306072	2255567	0.6071498460355316	31.0	-	Control	2
306803	2256298	5.377904549779789	1263.0	-	Control	2
308138	2257633	6.205873081059712	1441.0	-	Control	2
309034	2258529	0.9706373834469515	342.0	-	Control	2
310783	2260278	1.0975111138255607	112.0	-	Control	2
311681	2261176	3.3397981758887645	205.0	-	Control	2
313669	2263164	4.916373143965814	274.0	-	Control	2
