	Position	Z_Score	Termseq_Depth	Strand	Condition	Replicate
80	1949575	3.333128957262174	4	+	Control	2
1039	1950534	3.4849280698619656	8	+	Control	2
2868	1952363	6.921284776530459	15	+	Control	2
7016	1956511	0.998450154041238	0	+	Control	2
8123	1957618	0.9981186690014844	0	+	Control	2
9396	1958891	2.116104801799799e-08	0	+	Control	2
12445	1961940	1.5396147489323213	3	+	Control	2
13591	1963086	0.5882237722367782	0	+	Control	2
14824	1964319	0.4667368943069028	0	+	Control	2
15531	1965026	0.4132664005738021	1	+	Control	2
16660	1966155	4.574244926831528	174	+	Control	2
17482	1966977	5.984777431578851	223	+	Control	2
20409	1969904	0.4172343242572474	0	+	Control	2
22119	1971614	4.924801897391964	115	+	Control	2
22685	1972180	5.296386122914626	123	+	Control	2
25317	1974812	3.8073717185957365	7	+	Control	2
25959	1975454	0.6815936332218815	0	+	Control	2
27760	1977255	0.1792415850116527	0	+	Control	2
29023	1978518	8.266846757508423	492	+	Control	2
29838	1979333	0.17964813111662367	0	+	Control	2
31597	1981092	0.48846127896960784	0	+	Control	2
32543	1982038	1.566464305708586	4	+	Control	2
33359	1982854	1.5008196556720697	3	+	Control	2
33886	1983381	0.8140624185983594	1	+	Control	2
35004	1984499	2.588125326594257	3	+	Control	2
36357	1985852	1.9614417117449379	3	+	Control	2
37025	1986520	3.9319080996098266	6	+	Control	2
38346	1987841	2.521273452653026	6	+	Control	2
39308	1988803	1.8239441553673437	5	+	Control	2
40375	1989870	3.359109514386504	12	+	Control	2
41282	1990777	2.207596772995947	8	+	Control	2
41962	1991457	6.825018406357537	22	+	Control	2
43413	1992908	0.35059941908029313	0	+	Control	2
44684	1994179	0.443710285991769	6	+	Control	2
45353	1994848	0.5327429781383612	7	+	Control	2
46044	1995539	9.054788722205103	85	+	Control	2
47400	1996895	0.5368622466919781	7	+	Control	2
48612	1998107	0.6213090845378566	0	+	Control	2
50291	1999786	1.4124947181452974	4	+	Control	2
51130	2000625	4.518819150791978	18	+	Control	2
52325	2001820	0.4805667020157201	3	+	Control	2
53482	2002977	6.57046052660154	26	+	Control	2
55977	2005472	1.3587561473451075	6	+	Control	2
56970	2006465	5.700946945206252	11	+	Control	2
59970	2009465	3.6778872893911916	8	+	Control	2
61243	2010738	5.607009055705368	12	+	Control	2
63227	2012722	0.20310703505273114	0	+	Control	2
64237	2013732	6.645263565174665	1838	+	Control	2
65415	2014910	5.361403452013999	1532	+	Control	2
66268	2015763	0.2485504489147978	0	+	Control	2
66911	2016406	2.583067941682911	537	+	Control	2
68151	2017646	0.3151414133216123	0	+	Control	2
69125	2018620	0.30936194745195006	0	+	Control	2
70208	2019703	0.25469084295261435	2	+	Control	2
70918	2020413	8.888619032502229	744	+	Control	2
73486	2022981	3.2104179908550283	93	+	Control	2
74031	2023526	0.45174016237316794	0	+	Control	2
75541	2025036	0.2472330116285648	0	+	Control	2
76558	2026053	7.772632266338742	3555	+	Control	2
77976	2027471	2.5017551140759906	1216	+	Control	2
79701	2029196	0.3113458432330307	0	+	Control	2
82140	2031635	8.378915349219357	717	+	Control	2
83758	2033253	1.0604307259388062	112	+	Control	2
84815	2034310	0.4804909014160142	0	+	Control	2
85830	2035325	0.18061752220480035	0	+	Control	2
87384	2036879	8.983483071463384	3969	+	Control	2
88310	2037805	0.40506822521957525	250	+	Control	2
89271	2038766	0.17206651241845966	0	+	Control	2
89952	2039447	0.18660922815006328	0	+	Control	2
91047	2040542	2.0601035719012417	7	+	Control	2
91705	2041200	4.097876644627122	12	+	Control	2
92897	2042392	4.053386835213	12	+	Control	2
93407	2042902	3.5937030168167765	11	+	Control	2
94271	2043766	0.769631384837237	3	+	Control	2
96047	2045542	0.45514122435620213	0	+	Control	2
96969	2046464	0.43496924728773884	0	+	Control	2
97581	2047076	2.9699872886206027	451	+	Control	2
98557	2048052	5.625041003161153	803	+	Control	2
101763	2051258	0.6528702634363966	1	+	Control	2
102379	2051874	2.4455833496166086	2	+	Control	2
103801	2053296	2.468218990758916	5	+	Control	2
105253	2054748	3.6202552175422857	7	+	Control	2
105919	2055414	4.478410764987401	9	+	Control	2
106601	2056096	0.6062508669729088	0	+	Control	2
107939	2057434	1.48965218532634	6	+	Control	2
109115	2058610	5.342223931158039	17	+	Control	2
110421	2059916	2.556648774107737	11	+	Control	2
112184	2061679	0.7459290749162254	0	+	Control	2
112930	2062425	0.4360660402424214	25	+	Control	2
114698	2064193	8.298076399440228	308	+	Control	2
117159	2066654	0.5732240721282195	0	+	Control	2
118204	2067699	0.862894835497229	153	+	Control	2
118968	2068463	0.9638078045434176	169	+	Control	2
119668	2069163	7.332434164877045	1053	+	Control	2
120879	2070374	0.388077718194271	4	+	Control	2
121477	2070972	3.650689977453804	544	+	Control	2
122845	2072340	0.30992058651814053	0	+	Control	2
123585	2073080	0.586467899534221	70	+	Control	2
